player_name,team,gsis_id
Isaiah Oliver,TEN,00-0034357
Justin Reid,NO,00-0034361
Ian Thomas,LV,00-0034365
Da'Shawn Hand,ATL,00-0034371
Dorance Armstrong,WAS,00-0034373
Taron Johnson,LV,00-0034376
Avonte Maddox,DET,00-0034377
Josh Sweat,ARI,00-0034381
Dalton Schultz,HOU,00-0034383
D.J. Reed,DET,00-0034384
Siran Neal,SF,00-0034391
Tim Settle,WAS,00-0034397
Wyatt Teller,HOU,00-0034399
Ray-Ray McCloud,CHI,00-0034407
Foye Oluokun,JAX,00-0034413
Matt Pryor,ARI,00-0034417
Braxton Berrios,NYG,00-0034419
Jordan Mailata,PHI,00-0034429
Zaire Franklin,GB,00-0034431
Logan Cooke,JAX,00-0034437
Jalen Davis,CIN,00-0034446
Jeremy Reaves,WAS,00-0034465
Dennis Gardeck,JAX,00-0034473
Jonathan Owens,IND,00-0034485
Trent Sherfield,BUF,00-0034487
Tavierre Thomas,MIN,00-0034488
Evan Brown,HOU,00-0034495
Trent Scott,WAS,00-0034571
Charvarius Ward,IND,00-0034573
Kyle Allen,BUF,00-0034577
Tanner Hudson,CIN,00-0034613
Mike Ford,ATL,00-0034639
Matt Dickerson,JAX,00-0034657
Aaron Stinnie,NYG,00-0034668
Tremaine Edmunds,NYG,00-0034673
Jessie Bates,ATL,00-0034675
Robert Spillane,NE,00-0034720
Corey Bojorquez,CLE,00-0034721
Orlando Brown,CIN,00-0034752
Mark Andrews,BAL,00-0034753
Oren Burks,CIN,00-0034754
Kolton Miller,LV,00-0034759
Nathan Shepherd,NO,00-0034760
Chukwuma Okorafor,NYJ,00-0034768
Mason Rudolph,PIT,00-0034771
Vita Vea,TB,00-0034773
Christian Kirk,SF,00-0034775
Carlton Davis III,NE,00-0034778
Ronnie Harrison,MIA,00-0034779
Isaac Yiadom,WAS,00-0034780
Harrison Phillips,NYJ,00-0034782
Minkah Fitzpatrick,NYJ,00-0034789
Derwin James,LAC,00-0034790
Jason Sanders,NYJ,00-0034794
Lamar Jackson,BAL,00-0034796
Durham Smythe,BAL,00-0034798
B.J. Hill,CIN,00-0034800
Josh Woods,ATL,00-0034801
John Franklin-Myers,TEN,00-0034805
Ogbo Okoronkwo,SF,00-0034807
Sebastian Joseph-Day,PIT,00-0034810
Fred Warner,SF,00-0034815
Geron Christian,JAX,00-0034817
Arden Key,IND,00-0034825
DJ Moore,BUF,00-0034827
Harold Landry III,NE,00-0034828
Mike Gesicki,CIN,00-0034829
Bradley Chubb,BUF,00-0034832
Braden Smith,HOU,00-0034836
Calvin Ridley,TEN,00-0034837
Mike Hughes,ATL,00-0034843
Saquon Barkley,PHI,00-0034844
Mike McGlinchey,DEN,00-0034847
KhaDarel Hodge,SF,00-0034854
Baker Mayfield,TB,00-0034855
Denzel Ward,CLE,00-0034856
Josh Allen,BUF,00-0034857
Sam Darnold,SEA,00-0034869
Roquan Smith,BAL,00-0034874
Mitch Wishnowsky,NE,00-0034941
Fred Johnson,PHI,00-0034951
Andrew Beck,NYJ,00-0034959
Jakobi Meyers,JAX,00-0034960
D'Angelo Ross,CLE,00-0034966
Rashan Gary,DAL,00-0034967
Maxx Crosby,LV,00-0034973
Julian Love,SEA,00-0034974
Justice Hill,BAL,00-0034975
Ben Powers,DEN,00-0034978
Foster Moreau,HOU,00-0034981
Dre Greenlaw,SF,00-0034982
E.J. Speed,HOU,00-0034987
Justin Skule,TB,00-0034989
Marcus Epps,PHI,00-0034993
Demetrius Flannigan-Fowles,BUF,00-0035020
Ashton Dulin,IND,00-0035021
Kevin Givens,SF,00-0035026
Stephen Carlson,CHI,00-0035039
D.J. Montgomery,IND,00-0035045
Sam Mustipher,JAX,00-0035062
Patrick Mekari,JAX,00-0035112
Matthew Orzech,GB,00-0035118
Alec Ingold,LAC,00-0035125
Andre James,TEN,00-0035127
Keisean Nixon,GB,00-0035133
Mack Wilson,ARI,00-0035144
Nick Allegretti,WAS,00-0035149
Jack Fox,DET,00-0035156
Azeez Al-Shaair,HOU,00-0035166
AJ Cole,LV,00-0035190
Joey Slye,TEN,00-0035192
Del'Shawn Phillips,LAC,00-0035202
Olamide Zaccheaus,ATL,00-0035208
P.J. Locke,DAL,00-0035227
Kyler Murray,MIN,00-0035228
T.J. Hockenson,MIN,00-0035229
Ed Oliver,BUF,00-0035230
Tytus Howard,CLE,00-0035234
Kaleb McGary,ATL,00-0035235
Byron Murphy,MIN,00-0035236
Jawaan Taylor,ATL,00-0035237
Sean Murphy-Bunting,TB,00-0035239
Jahlani Tavai,JAX,00-0035240
Erik McCoy,NO,00-0035242
Zach Allen,DEN,00-0035248
Josh Oliver,MIN,00-0035249
Devin Singletary,NYG,00-0035250
Will Grier,CAR,00-0035251
C.J. Gardner-Johnson,BUF,00-0035253
Anthony Nelson,TB,00-0035254
Hjalte Froholdt,ARI,00-0035258
Tony Pollard,TEN,00-0035261
Drue Tranquill,KC,00-0035262
Jarrett Stidham,DEN,00-0035264
Matt Gay,LV,00-0035269
Amani Oruwariye,BAL,00-0035270
Andrew Van Ginkel,MIN,00-0035272
Blake Cashman,MIN,00-0035276
Mike Jackson,CAR,00-0035277
Byron Cowart,WAS,00-0035278
Charles Omenihu,WAS,00-0035279
Jake Bailey,ATL,00-0035280
Easton Stick,TB,00-0035282
Cole Holcomb,PIT,00-0035286
Gardner Minshew,ARI,00-0035289
Scott Miller,CHI,00-0035298
Kaden Elliss,NO,00-0035316
Joshua Miles,LV,00-0035317
Chris Myarick,LV,00-0035345
Tyrel Dodson,CAR,00-0035352
Blake Hance,LA,00-0035355
Cam Lewis,CHI,00-0035357
Chase McLaughlin,TB,00-0035358
David Sills,TB,00-0035359
Joe Giles-Harris,CIN,00-0035363
Andrew Wingard,ARI,00-0035378
T.J. Edwards,CHI,00-0035386
Carl Granderson,NO,00-0035402
Lil'Jordan Humphrey,DEN,00-0035406
Nick Moore,BAL,00-0035408
Shy Tuttle,WAS,00-0035409
Luke Gifford,SF,00-0035413
Greg Dortch,BUF,00-0035500
Devin Bush,CHI,00-0035525
Elgton Jenkins,CLE,00-0035526
Darius Slayton,NYG,00-0035535
Ty Johnson,BUF,00-0035537
Tom Kennedy,DET,00-0035544
Craig Reynolds,WAS,00-0035567
Garrett Bradbury,CHI,00-0035588
Gary Jennings,LAC,00-0035589
Travis Homer,PIT,00-0035594
Alex Bachman,LA,00-0035602
Troy Reeder,NYJ,00-0035617
Chris Lindstrom,ATL,00-0035630
Drew Sample,CIN,00-0035631
Amani Hooker,TEN,00-0035632
L.J. Collier,ARI,00-0035636
Rock Ya-Sin,DET,00-0035637
Parris Campbell,DAL,00-0035639
DK Metcalf,PIT,00-0035640
Josh Hines-Allen,JAX,00-0035642
Jeffery Simmons,TEN,00-0035643
Noah Fant,NO,00-0035644
Gunner Olszewski,NYG,00-0035645
Montez Sweat,CHI,00-0035647
Terry McLaurin,WAS,00-0035659
Marquise Brown,PHI,00-0035662
Taylor Rapp,DEN,00-0035663
David Long,NO,00-0035665
Greg Gaines,BUF,00-0035667
David Edwards,NO,00-0035668
Nick Scott,CAR,00-0035669
Cody Barton,TEN,00-0035672
Jerry Tillery,IND,00-0035674
A.J. Brown,NE,00-0035676
Dre'Mont Jones,NE,00-0035678
Connor McGovern,BUF,00-0035679
Quincy Williams,CLE,00-0035680
Dexter Lawrence,CIN,00-0035683
David Montgomery,HOU,00-0035685
Michael Deiter,DEN,00-0035686
Bobby Okereke,CAR,00-0035687
Trey Pipkins,LAC,00-0035688
Dawson Knox,BUF,00-0035689
Clelin Ferrell,MIA,00-0035692
Chuma Edoga,BAL,00-0035698
Jamel Dean,PIT,00-0035699
Josh Jacobs,GB,00-0035700
Dalton Risner,CIN,00-0035702
Drew Lock,SEA,00-0035704
Jalen Thompson,DAL,00-0035705
Devin White,DET,00-0035707
Daniel Jones,IND,00-0035710
Brian Burns,NYG,00-0035713
Nick Bosa,SF,00-0035717
Quinnen Williams,DAL,00-0035718
Deebo Samuel Sr.,SF,00-0035719
Brett Toth,SF,00-0035743
Malcolm Roach,DEN,00-0035763
Calvin Throckmorton,DEN,00-0035764
James Pierre,MIN,00-0035795
Corliss Waitman,SF,00-0035821
Ross Matiscik,JAX,00-0035827
Austen Pleasants,SF,00-0035829
Chris Williams,CLE,00-0035857
Blake Gillikin,ARI,00-0035859
Tommy Townsend,TEN,00-0035889
Tershawn Wharton,CAR,00-0035890
Cody White,LV,00-0035891
Joe Bachie,DET,00-0035895
Cole Christiansen,KC,00-0035900
Jonathan Ward,BAL,00-0035924
Michael Hoecht,BUF,00-0035933
Christian Rozeboom,TB,00-0035942
Jonah Williams,NO,00-0035944
Trystan Colon,JAX,00-0035992
Tyler Huntley,BAL,00-0035993
Julian Good-Jones,WAS,00-0035997
Salvon Ahmed,CHI,00-0036020
Terence Steele,DAL,00-0036036
Sam Franklin Jr.,BUF,00-0036037
Juwan Johnson,NO,00-0036040
Cam Gill,CAR,00-0036045
Broderick Washington,BAL,00-0036081
Liam McCullough,ATL,00-0036082
Myles Bryant,CLE,00-0036087
Bill Murray,LA,00-0036093
Nick Leverett,DAL,00-0036105
A.J. Green,MIA,00-0036114
Khalil Dorsey,DET,00-0036124
Nnamdi Madubuike,BAL,00-0036130
Ben Bredeson,TB,00-0036132
Rico Dowdle,PIT,00-0036139
Kristian Welch,GB,00-0036157
J.K. Dobbins,DEN,00-0036158
Joshua Uche,MIA,00-0036159
Tyler Bass,BUF,00-0036162
Dane Jackson,JAX,00-0036166
Aaron Brewer,MIA,00-0036171
Teair Tart,LAC,00-0036181
Nick Westbrook-Ikhine,IND,00-0036182
Reggie Gilliam,NE,00-0036187
A.J. Epenesa,PHI,00-0036192
Anfernee Jennings,NO,00-0036193
Mike Onwenu,NE,00-0036198
Geno Stone,BUF,00-0036199
LaCale London,ATL,00-0036204
Tua Tagovailoa,ATL,00-0036212
Danny Pinter,BAL,00-0036215
Derrick Brown,CAR,00-0036220
Brandon Jones,DEN,00-0036221
Isaiah Rodgers,MIN,00-0036222
Jonathan Taylor,IND,00-0036223
Jonathan Greenard,PHI,00-0036224
Kyle Dugger,CIN,00-0036231
Larrell Murchison,LA,00-0036237
Jonathan Garvin,CHI,00-0036239
Bryce Hall,HOU,00-0036241
Colby Parkinson,LA,00-0036244
Jon Runyan,NYG,00-0036246
Austin Jackson,MIA,00-0036248
Julian Okwara,CLE,00-0036249
Michael Pittman,PIT,00-0036252
Julian Blackmon,NO,00-0036253
Colton McKivitz,SF,00-0036256
Jonah Jackson,CHI,00-0036258
Jauan Jennings,MIN,00-0036259
Javon Kinlaw,WAS,00-0036260
DaVon Hamilton,JAX,00-0036262
Jordan Love,GB,00-0036264
AJ Dillon,CAR,00-0036265
Jordan Elliott,TEN,00-0036266
Jedrick Wills,BUF,00-0036267
Ben Bartch,DET,00-0036272
D'Andre Swift,CHI,00-0036275
Malik Harrison,NYG,00-0036280
