season,season_type,game_type,team,week,gsis_id,position,player_name,first_name,last_name,injury_type,report_secondary_injury,status,practice_primary_injury,practice_secondary_injury,practice_participation,scraped_at,source
2026,REG,REG,DET,1,00-0041442,LB,Jimmy Rolder,James,Rolder,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,DET,1,00-0041445,CB,Keith Abney II,Keith,Abney,,,Full,Hand,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,GB,1,00-0033109,DT,Javon Hargrave,Javon,Hargrave,,,Limited,Knee,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,GB,1,00-0036551,G,Aaron Banks,Aaron,Banks,Knee,,Questionable,Knee,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,GB,1,00-0037075,DT,Devonte Wyatt,Devonte,Wyatt,,,Limited,Ankle,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,GB,1,00-0037817,T,Zach Bako-Bewele,Zach,Bako-Bewele,Knee,,Questionable,Knee,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,GB,1,00-0039812,LB,Ty'Ron Hopper,Ty'Ron,Hopper,Achilles,,Questionable,Achilles,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,GB,1,00-0039904,T,Jordan Morgan,Jordan,Morgan,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,GB,1,00-0040010,LB,Barryn Sorrell,Barryn,Sorrell,,,Limited,Foot,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,GB,1,00-0040016,DT,Warren Brinson,Warren,Brinson,Calf,,Out,Calf,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,HOU,1,00-0032071,T,Trent Brown,Trenton,Brown,,,Full,Wrist,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,HOU,1,00-0039108,DE,Will Anderson Jr.,William,Anderson,,,DNP,Not injury related - resting player,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,HOU,1,00-0041440,DT,Kayden McDonald,Kayden,McDonald,,,DNP,Ankle,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,HOU,1,00-0041465,LB,Wade Woodaz,Wade,Woodaz,,,Full,Thumb,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0032378,DT,DeForest Buckner,DeForest,Buckner,,,DNP,Not injury related - resting player,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0033952,DT,Grover Stewart,Grover,Stewart,,,Full,Not injury related - resting player,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0034573,CB,Charvarius Ward,Charvarius,Ward,,,Limited,Not injury related - resting player,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0037292,TE,Andrew Ogletree,Andrew,Ogletree,,,Full,Neck,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0037664,WR,Alec Pierce,Alec,Pierce,,,Limited,Heel,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0039164,QB,Anthony Richardson,Anthony,Richardson,,,Full,Illness,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0039178,LB,Austin Ajiake,Austin,Ajiake,Hamstring,,Out,Hamstring,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0039876,C,Sedrick Van Pran-Granger,Sedrick,Van Pran-Granger,,,Full,Illness,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,IND,1,00-0041043,S,A.J. Haulcy,Adari,Haulcy,,,Full,Ankle,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,JAX,1,00-0034960,WR,Jakobi Meyers,Jakobi,Meyers,,,Limited,Thumb,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,JAX,1,00-0036655,T,Cole Van Lanen,Cole,Van Lanen,,,Limited,Knee,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,JAX,1,00-0038934,T,Anton Harrison,Anton,Harrison,,,DNP,Foot,,DNP,2026-09-15 08:16:02.365138,nflreadpy
