player_id,player_name,game_id,season,week,team,opponent,receiving_yards,receptions,rec_tds,targets,target_share,game_date,ypr,catch_rate,receiving_yards_L3,receiving_yards_L5,receiving_yards_L10,receiving_yards_std_L5,rec_tds_L3,rec_tds_L5,rec_tds_L10,rec_tds_std_L5,receptions_L3,receptions_L5,receptions_L10,receptions_std_L5,targets_L3,targets_L5,targets_L10,targets_std_L5,target_share_L3,target_share_L5,target_share_L10,target_share_std_L5
00-0029892,K.Juszczyk,2025_10_LA_SF,2025,10,SF,LA,8.0,2.0,0.0,2.0,0.025,2025-11-09,4.0,100.0,10.11749316569834,11.208454912216906,13.253053884506079,8.6784814997946,0.009277346092858355,0.04372098531679065,0.11012632889272257,0.22860845558456297,1.0967116426535326,1.2428612705533955,1.3979194861428246,0.7117876978340926,1.88006481303744,1.8911690849432734,1.9626908541174761,0.87277508286125,0.037929881407557264,0.03523077976741876,0.032641076792187876,0.008819710593843557
00-0029892,K.Juszczyk,2025_11_SF_ARI,2025,11,SF,ARI,26.0,2.0,0.0,2.0,0.04,2025-11-16,13.0,100.0,9.058746582849171,10.138969941477939,12.297953178232246,7.284928918763913,0.004638673046429178,0.029147323544527107,0.09010336000313664,0.18807497535150777,1.5483558213267663,1.4952408470355971,1.5073886704804926,0.7049821116562535,1.94003240651872,1.927446056628849,1.9694743351870256,0.7149225670394882,0.03146494070377863,0.03182051984494584,0.03125179010269917,0.008996270254194236
00-0029892,K.Juszczyk,2025_13_SF_CLE,2025,13,SF,CLE,27.0,2.0,0.0,2.0,0.041666666666666664,2025-11-30,13.5,100.0,17.529373291424584,15.425979960985293,14.789234418553654,10.25969364066116,0.002319336523214589,0.01943154902968474,0.07372093091165724,0.15432904756300736,1.7741779106633833,1.6634938980237315,1.5969543667567665,0.6341182130228133,1.97001620325936,1.951630704419233,1.975024456062112,0.5849829862597857,0.03573247035188931,0.0345470132299639,0.03284237372039023,0.00851702223612815
00-0029892,K.Juszczyk,2025_15_TEN_SF,2025,15,SF,TEN,7.0,1.0,0.0,1.0,0.03571428571428571,2025-12-14,7.0,100.0,22.264686645712292,19.283986640656863,17.009373615180262,10.362661237239761,0.0011596682616072944,0.012954366019789828,0.06031712529135592,0.1264246337961706,1.8870889553316916,1.7756625986824877,1.6702353909828087,0.5472889080825424,1.9850081016296799,1.9677538029461554,1.9795654640508187,0.47831643839709637,0.038699568509277985,0.03692023104219816,0.034446790619713216,0.007901910242122837
00-0029892,K.Juszczyk,2025_17_CHI_SF,2025,17,SF,CHI,14.0,2.0,1.0,2.0,0.030303030303030304,2025-12-28,7.0,100.0,14.632343322856146,15.189324427104577,15.189487503329305,10.653894994457502,0.0005798341308036472,0.00863624401319322,0.04935037523838211,0.10345082953344002,1.4435444776658457,1.5171083991216585,1.5483744108041162,0.6056476846179968,1.49250405081484,1.6451692019641038,1.8014626524052153,0.6423989976155495,0.03720692711178185,0.03651824926622735,0.03467724427327185,0.006483113733917432
00-0029892,K.Juszczyk,2025_18_SEA_SF,2025,18,SF,SEA,5.0,1.0,0.0,2.0,0.037037037037037035,2026-01-03,5.0,50.0,14.316171661428072,14.792882951403051,14.97321704817852,8.721423831257454,0.5002899170654018,0.3390908293421288,0.22219576155867626,0.5292780918380572,1.7217722388329229,1.6780722660811058,1.6304881542942766,0.5561589953317668,1.7462520254074199,1.7634461346427361,1.8375603519679031,0.5568583573057928,0.033754978707406076,0.03444650961182834,0.03388193264231884,0.006225011816344549
00-0029892,K.Juszczyk,2025_19_SF_PHI,2025,19,SF,PHI,49.0,4.0,0.0,4.0,0.03333333333333333,2026-01-11,12.2,100.0,9.658085830714036,11.5285886342687,13.159904857600608,8.794763550079447,0.2501449585327009,0.22606055289475258,0.18179653218437147,0.4676499483063327,1.3608861194164614,1.4520481773874039,1.51585394442259,0.577863109856916,1.87312601270371,1.8422974230951574,1.8670948334282844,0.47145657378036576,0.03539600787222155,0.03531001875356457,0.03445558798681306,0.0052628859165298235
00-0029892,K.Juszczyk,2025_20_SF_SEA,2025,20,SF,SEA,11.0,1.0,0.0,1.0,0.037037037037037035,2026-01-17,11.0,100.0,29.329042915357018,24.019059089512467,19.676285792582316,21.01415890341155,0.12507247926635046,0.1507070352631684,0.14874261724175847,0.399991288633362,2.6804430597082307,2.301365451591603,1.9675168636184828,1.4233645924861027,2.936563006351855,2.5615316153967718,2.25489577280496,1.2005937804880285,0.03436467060277744,0.03465112361348749,0.03425154168618038,0.004421613860079631
00-0030035,A.Thielen,2020_01_GB_MIN,2020,1,MIN,GB,110.0,6.0,2.0,9.0,0.038461538461538464,2020-09-13,18.3,66.7,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0030035,A.Thielen,2020_02_MIN_IND,2020,2,MIN,IND,31.0,3.0,0.0,8.0,0.043478260869565216,2020-09-20,10.3,37.5,110.0,110.0,110.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,9.0,9.0,9.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0
00-0030035,A.Thielen,2020_03_TEN_MIN,2020,3,MIN,TEN,29.0,3.0,1.0,6.0,0.038461538461538464,2020-09-27,9.7,50.0,70.5,83.66666666666667,95.63636363636364,55.86143571373726,1.0,1.3333333333333335,1.6363636363636362,1.4142135623730951,4.5,5.0,5.454545454545453,2.1213203435596424,8.5,8.666666666666668,8.818181818181818,0.7071067811865476,0.04096989966555184,0.04013377926421405,0.039373669808452416,0.0035473584340462226
00-0030035,A.Thielen,2020_04_MIN_HOU,2020,4,MIN,HOU,114.0,8.0,1.0,10.0,0.047619047619047616,2020-10-04,14.2,80.0,49.75,65.44444444444446,83.52066115702479,49.74627933516544,1.0,1.2222222222222223,1.5206611570247932,0.9805806756909202,3.75,4.333333333333334,5.008264462809915,1.860521018838127,7.25,7.7777777777777795,8.305785123966942,1.6408253082847348,0.03971571906354515,0.03957636566332219,0.03920782774537715,0.002603049439779785
00-0030035,A.Thielen,2020_05_MIN_SEA,2020,5,MIN,SEA,80.0,9.0,2.0,13.0,0.026315789473684206,2020-10-11,8.9,69.2,81.875,81.62962962962965,89.06235912847481,46.575228176566654,1.0,1.1481481481481484,1.4259954921111944,0.7608859102526822,5.875,5.555555555555556,5.552216378662658,2.4746838485705482,8.625,8.518518518518519,8.613824192336589,1.7557638699202385,0.043667383341296384,0.042257259648564,0.04073714044968087,0.00486529003398045
00-0030035,A.Thielen,2020_06_ATL_MIN,2020,6,MIN,ATL,51.0,3.0,1.0,5.0,0.02702702702702703,2020-10-18,17.0,60.0,80.9375,81.08641975308643,87.41465746875211,37.06126911638416,1.5,1.432098765432099,1.530359948090977,0.7590323151958016,7.4375,6.703703703703704,6.179086127996721,2.702760946282853,10.8125,10.012345679012347,9.411310702820845,2.784985801748319,0.0349915864074903,0.036943436256937405,0.03811507663586329,0.009404136822341442
00-0030035,A.Thielen,2020_08_MIN_GB,2020,8,MIN,GB,27.0,3.0,0.0,4.0,0.07142857142857142,2020-11-01,9.0,75.0,65.96875,71.05761316872429,80.79381065625174,33.931870941272656,1.25,1.2880658436213994,1.4339308666198902,0.6545173290907873,5.21875,5.469135802469137,5.601070468360954,2.939414075212601,7.90625,8.341563786008232,8.609254211398873,3.4869239334806585,0.031009306717258663,0.033637966513633946,0.03609906761607488,0.009244204007317318
00-0030035,A.Thielen,2020_09_DET_MIN,2020,9,MIN,DET,38.0,2.0,0.0,5.0,0.05,2020-11-08,19.0,40.0,46.484375,56.37174211248286,71.0131178096605,36.10406885439471,0.625,0.8587105624142664,1.173216163598092,0.8644460477330311,4.109375,4.646090534979425,5.128148565022599,2.7222860063241896,5.953125,6.894375857338821,7.771207991144532,3.6474114848190404,0.05121893907291504,0.04623483481861311,0.04252261376380152,0.02135886425448662
00-0030035,A.Thielen,2020_10_MIN_CHI,2020,10,MIN,CHI,43.0,4.0,2.0,7.0,0.030303030303030304,2020-11-16,10.8,57.1,42.2421875,50.247828074988576,65.01073275335858,30.973324974301445,0.3125,0.5724737082761776,0.9599041338529843,0.8375980011443658,3.0546875,3.7640603566529505,4.559394280473035,2.6212519147138567,5.4765625,6.2629172382258815,7.267351992754617,3.1354813725148443,0.05060946953645752,0.04748988987907541,0.04388213853401943,0.01751510100004978
00-0030035,A.Thielen,2020_11_DAL_MIN,2020,11,MIN,DAL,123.0,8.0,2.0,11.0,0.03571428571428571,2020-11-22,15.4,72.7,42.62109375,47.83188538332573,61.00878134365702,25.553077935929483,1.15625,1.0483158055174517,1.1490124731524416,1.016734741624151,3.52734375,3.8427069044353006,4.457686229477938,2.1418210404553664,6.23828125,6.508611492150588,7.218742539526504,2.587047478945999,0.04045624991974391,0.04176093668706038,0.041413209764748674,0.016920601162563276
00-0030035,A.Thielen,2020_13_JAX_MIN,2020,13,MIN,JAX,75.0,8.0,1.0,11.0,0.025,2020-12-06,9.4,72.7,82.810546875,72.88792358888382,72.27991200844664,44.78295921897124,1.578125,1.3655438703449678,1.3037374780338158,0.9697100211947954,5.763671875,5.228471269623534,5.101743278663767,2.8035306885390714,8.619140625,8.00574099476706,7.90624389597623,3.1725992516395602,0.03808526781701481,0.03974538636280216,0.04037704175557359,0.014172953076298166
00-0030035,A.Thielen,2020_14_MIN_TB,2020,14,MIN,TB,39.0,3.0,0.0,4.0,0.027777777777777776,2020-12-13,13.0,75.0,78.9052734375,73.59194905925588,72.77447346145634,36.575206256234196,1.2890625,1.2436959135633119,1.2485124820276674,0.8147296694227995,6.8818359375,6.152314179749023,5.628699046179445,2.715187299566933,9.8095703125,9.003827329844707,8.468745005798734,3.0329728199787933,0.03154263390850741,0.03483025757520144,0.037581215981832936,0.013938404015746909
00-0030035,A.Thielen,2020_15_CHI_MIN,2020,15,MIN,CHI,11.0,2.0,1.0,3.0,0.03333333333333333,2020-12-20,5.5,66.7,58.95263671875,62.06129937283726,66.63366010482791,34.98736333961993,0.64453125,0.829130609042208,1.0215102125680915,0.9338990456925141,4.94091796875,5.1015427864993494,5.15075376505591,2.770320756891125,6.90478515625,7.3358848865631385,7.656245913835328,3.617678961461405,0.029660205843142592,0.03247943097606022,0.03579877267200472,0.011971448264281322
00-0030035,A.Thielen,2020_16_MIN_NO,2020,16,MIN,NO,97.0,8.0,1.0,9.0,0.02564102564102564,2020-12-25,12.1,88.9,34.976318359375,45.040866248558174,56.51844917667738,39.246622092472656,0.822265625,0.8860870726948054,1.0175992648284384,0.7677970781386028,3.470458984375,4.067695190999567,4.577889444136653,2.7907583782013257,4.952392578125,5.890589924375426,6.809655747683449,3.7345580089175323,0.031496769588237966,0.03276406509515126,0.03535051097406447,0.00978463971024814
00-0030035,A.Thielen,2020_17_MIN_DET,2020,17,MIN,DET,57.0,4.0,0.0,5.0,0.02631578947368421,2021-01-03,14.2,80.0,65.9881591796875,62.36057749903878,63.87873114455422,42.151889662511586,0.9111328125,0.9240580484632037,1.014399398495995,0.6297617389317994,5.7352294921875,5.378463460666378,5.200091363384534,3.080170001766165,6.9761962890625,6.927059949583618,7.2079001571955486,3.461703099362573,0.028568897614631803,0.03038971861044272,0.03358515000442104,0.008827127784399393
00-0030035,A.Thielen,2021_01_MIN_CIN,2021,1,MIN,CIN,92.0,9.0,2.0,10.0,0.02127659574468085,2021-09-12,10.2,90.0,61.49407958984375,60.57371833269253,62.62805275463526,34.532391825111546,0.45556640625,0.6160386989754693,0.8299631442239958,0.7082292021552788,4.86761474609375,4.918975640444252,4.981892933678255,2.617766393349743,5.98809814453125,6.284706633055746,6.806463764978176,3.0033922403222286,0.027442343544158004,0.02903174223152322,0.03226344808974162,0.0075203057391013345
00-0030035,A.Thielen,2021_02_MIN_ARI,2021,2,MIN,ARI,39.0,6.0,1.0,7.0,0.03125,2021-09-19,6.5,85.7,76.74703979492188,71.04914555512835,67.96840679924702,32.70051085845905,1.227783203125,1.077359132650313,1.042697118001451,0.9308245554136463,6.933807373046875,6.279317093629501,5.712457854827663,3.0322901870826784,7.994049072265625,7.523137755370498,7.387106716800325,3.1381262783587345,0.02435946964441943,0.026446693402575765,0.030265838572457838,0.007376270550463166
00-0030035,A.Thielen,2021_03_SEA_MIN,2021,3,MIN,SEA,50.0,6.0,1.0,9.0,0.02631578947368421,2021-09-26,8.3,66.7,57.87351989746094,60.36609703675224,62.70142374483847,31.59429827700151,1.1138916015625,1.0515727551002088,1.034934005637551,0.7611068094943261,6.4669036865234375,6.186211395753001,5.7647382448589966,2.480223743980838,7.4970245361328125,7.348758503580332,7.316723677382083,2.5770575901244683,0.027804734822209715,0.028047795601717176,0.03044477701382914,0.006533118847917005
