player_id,player_name,game_id,season,week,team,opponent,passing_yards,pass_tds,completions,attempts,interceptions,game_date,completion_pct,passing_yards_L3,passing_yards_L5,passing_yards_L10,passing_yards_std_L5,pass_tds_L3,pass_tds_L5,pass_tds_L10,pass_tds_std_L5,completions_L3,completions_L5,completions_L10,completions_std_L5,attempts_L3,attempts_L5,attempts_L10,attempts_std_L5,interceptions_L3,interceptions_L5,interceptions_L10,interceptions_std_L5
00-0033357,T.Hill,2023_13_DET_NO,2023,13,NO,DET,0.0,0.0,0.0,2.0,0.0,2023-12-03,0.0,15.16763341956539,17.502030702803967,23.304471312404754,22.875349940470624,0.5078401677310467,0.3644242262218783,0.26815776422787585,0.5383298848571247,1.0212398547155317,1.0727479869345886,1.4557993188056817,0.6088638717650112,1.275795681285672,1.3445384842138697,2.015567424157547,1.0548981148651577,1.971609890460968e-06,0.00043914767191835795,0.016288929212749263,0.04530272426312039
00-0033357,T.Hill,2023_15_NYG_NO,2023,15,NO,NYG,0.0,0.0,0.0,1.0,0.0,2023-12-17,0.0,7.583816709782695,11.66802046853598,19.067294710149344,20.83131325192386,0.25392008386552334,0.2429494841479189,0.21940180709553478,0.47967661921859883,0.5106199273577658,0.7151653246230592,1.191108533568285,0.7528657763450439,1.637897840642836,1.56302565614258,2.0127369834016293,0.9280166840673649,9.85804945230484e-07,0.00029276511461223865,0.013327305719522124,0.036990243579524615
00-0033357,T.Hill,2023_17_NO_TB,2023,17,NO,TB,11.0,0.0,1.0,2.0,0.0,2023-12-31,50.0,3.7919083548913477,7.778680312357321,15.600513853758553,18.086269884251475,0.12696004193276167,0.16196632276527928,0.17951056944180116,0.41205434967423504,0.2553099636788829,0.47677688308203947,0.9745433456467785,0.7210713377412414,1.318948920321418,1.3753504374283867,1.8286029864195148,0.8137556635154174,4.92902472615242e-07,0.0001951767430748258,0.010904159225063555,0.030202801560571337
00-0033357,T.Hill,2023_18_ATL_NO,2023,18,NO,ATL,0.0,0.0,0.0,0.0,0.0,2024-01-07,,7.395954177445674,8.852453541571547,14.764056789438815,14.864653082175163,0.06348002096638083,0.1079775485101862,0.1468722840887464,0.347101561632256,0.6276549818394415,0.6511845887213596,0.979171828256455,0.6501341160667367,1.659474460160709,1.5835669582855911,1.8597660797977849,0.7415192639643894,2.46451236307621e-07,0.00013011782871655056,0.008921584820506544,0.02466069875450908
00-0033357,T.Hill,2024_08_NO_LAC,2024,8,NO,LAC,3.0,0.0,1.0,1.0,0.0,2024-10-27,100.0,3.697977088722837,5.901635694381032,12.079682827722666,13.002830041463612,0.03174001048319042,0.07198503234012414,0.12016823243624704,0.289064552956018,0.31382749091972073,0.43412305914757315,0.8011405867552813,0.6321172214351227,0.8297372300803545,1.0557113055237275,1.5216267925618239,1.0310898059505602,1.232256181538105e-07,8.674521914436705e-05,0.007299478489505354,0.020135492999475015
00-0033357,T.Hill,2024_09_NO_CAR,2024,9,NO,CAR,0.0,0.0,0.0,1.0,0.0,2024-11-03,0.0,3.3489885443614185,4.934423796254022,10.428831404500361,10.726344820013049,0.01587000524159521,0.047990021560082766,0.09831946290238393,0.2390500893249716,0.6569137454598604,0.6227487060983821,0.8372968437088666,0.5960960838172535,0.9148686150401772,1.0371408703491518,1.4267855575505832,0.8423931848884672,6.161280907690525e-08,5.783014609624471e-05,0.0059723005823225615,0.016440624757742398
00-0033357,T.Hill,2024_11_CLE_NO,2024,11,NO,CLE,18.0,0.0,1.0,2.0,1.0,2024-11-17,50.0,1.6744942721807092,3.289615864169348,8.53268024004575,9.13599830152687,0.007935002620797604,0.031993347706721846,0.0804431969201323,0.19681555851467833,0.3284568727299302,0.41516580406558806,0.685061053943618,0.5870380570875011,0.9574343075200886,1.024760580232768,1.349188183450477,0.688089648415163,3.0806404538452625e-08,3.855343073082981e-05,0.0048864277491730045,0.013423748505142502
00-0033357,T.Hill,2025_05_NYG_NO,2025,5,NO,NYG,19.0,0.0,1.0,1.0,0.0,2025-10-05,100.0,9.837247136090355,8.193077242779566,10.254011105491976,10.758909968291688,0.003967501310398802,0.0213288984711479,0.06581716111647187,0.16158146214642052,0.6642284363649651,0.6101105360437253,0.7423226804993239,0.5698693490275772,1.4787171537600443,1.3498403868218454,1.4675176046412992,0.7614703612971735,0.5000000154032023,0.3333590356204872,0.18581616815841429,0.5271399159305961
00-0033357,T.Hill,2025_09_NO_LA,2025,9,NO,LA,0.0,0.0,0.0,1.0,0.0,2025-11-02,0.0,14.418623568045177,11.795384828519712,11.844190904493434,10.469526206706139,0.001983750655199401,0.014219265647431936,0.05385040454984062,0.13240876029730894,0.8321142181824825,0.740073690695817,0.7891731022267194,0.5086519149266536,1.2393585768800222,1.233226924547897,1.3825144037974266,0.6485019838428863,0.25000000770160113,0.22223935708032483,0.15203141031142986,0.46488703076702736
00-0033357,T.Hill,2025_10_NO_CAR,2025,10,NO,CAR,0.0,0.0,0.0,1.0,0.0,2025-11-09,0.0,7.209311784022589,7.863589885679809,9.690701649130991,10.569839860500473,0.0009918753275997005,0.009479510431621293,0.04405942190441505,0.10837073590724568,0.4160571090912413,0.493382460463878,0.6456870836400431,0.5697595294412108,1.119679288440011,1.1554846163652648,1.3129663303797128,0.5435803052319081,0.12500000385080057,0.14815957138688324,0.12438933570935169,0.39723985727083616
00-0033357,T.Hill,2025_12_ATL_NO,2025,12,NO,ATL,0.0,0.0,0.0,2.0,0.0,2025-11-23,0.0,3.6046558920112943,5.242393257119873,7.928755894743538,9.573802233091689,0.0004959376637998503,0.0063196736210808626,0.03604861792179413,0.08862527304551322,0.20802855454562064,0.32892164030925203,0.5282894320691262,0.5329499829635771,1.0598396442200055,1.1036564109101765,1.256063361219765,0.4513333276996209,0.06250000192540028,0.0987730475912555,0.10177309285310593,0.33361241179135276
00-0033357,T.Hill,2025_16_NYJ_NO,2025,16,NO,NYJ,38.0,1.0,1.0,1.0,0.0,2025-12-21,100.0,1.8023279460056472,3.4949288380799155,6.4871639138810755,8.290911039913581,0.00024796883189992514,0.004213115747387242,0.029494323754195195,0.07243884763566141,0.10401427727281032,0.21928109353950137,0.43223680805655773,0.46841194117341073,1.5299198221100028,1.402437607273451,1.3913245682707167,0.5991466348446065,0.03125000096270014,0.06584869839417035,0.08326889415254121,0.27732326406672847
