player_id,player_name,game_id,season,week,team,opponent,rushing_yards,rush_tds,rush_attempts,game_date,ypc,rushing_yards_L3,rushing_yards_L5,rushing_yards_L10,rushing_yards_std_L5,rush_tds_L3,rush_tds_L5,rush_tds_L10,rush_tds_std_L5,rush_attempts_L3,rush_attempts_L5,rush_attempts_L10,rush_attempts_std_L5
00-0034857,J.Allen,2021_16_BUF_NE,2021,16,BUF,NE,64.0,0.0,12.0,2021-12-26,5.3,48.16819345392287,47.538419253939416,43.73728835592465,38.74036597004847,0.2551366554107517,0.25514830782333187,0.26610610629416986,0.48778629734119544,5.983033725526184,6.2667219940844605,6.397641366166011,4.064215524459323
00-0034857,J.Allen,2021_17_ATL_BUF,2021,17,BUF,ATL,81.0,2.0,15.0,2022-01-02,5.4,56.084096726961434,53.02561283595961,47.42141774575653,32.79965249575767,0.12756832770537585,0.17009887188222125,0.21772317787704806,0.4203655127388678,8.991516862763092,8.177814662722973,7.416252026863099,4.488049300435109
00-0034857,J.Allen,2021_18_NYJ_BUF,2021,18,BUF,NYJ,63.0,0.0,5.0,2022-01-09,12.6,68.54204836348072,62.350408557306416,53.52661451925534,30.571081226212893,1.063784163852688,0.7800659145881474,0.5417735091721303,1.023696370595063,11.995758431381546,10.451876441815315,8.795115294706171,5.133885804460548
00-0034857,J.Allen,2021_19_NE_BUF,2021,19,BUF,NE,66.0,0.0,6.0,2022-01-15,11.0,65.77102418174036,62.56693903820428,55.24904824302709,24.963531104039184,0.531892081926344,0.520043943058765,0.4432692347771975,0.9314852317532496,8.497879215690773,8.634584294543544,8.105094332032323,5.082082825000035
00-0034857,J.Allen,2021_20_BUF_KC,2021,20,BUF,KC,68.0,0.0,11.0,2022-01-23,6.2,65.88551209087018,63.71129269213619,57.20376674429489,20.46279029526394,0.265946040963172,0.3466959620391767,0.3626748284540706,0.8084348856226578,7.2489396078453865,7.756389529695697,7.7223499080264455,4.375664788267592
00-0034857,J.Allen,2022_01_BUF_LA,2022,1,BUF,LA,56.0,1.0,10.0,2022-09-08,5.6,66.94275604543509,65.14086179475746,59.16671824533218,16.860002787460925,0.132973020481586,0.23113064135945116,0.29673395055333046,0.6849085105963316,9.124469803922693,8.837593019797131,8.318286288385274,3.9606561780056313
00-0034857,J.Allen,2022_02_TEN_BUF,2022,2,BUF,TEN,10.0,0.0,1.0,2022-09-19,10.0,61.471378022717545,62.09390786317164,58.59095129163541,14.58479630694696,0.566486510240793,0.48742042757296744,0.4246005049981795,0.6906115031030632,9.562234901961347,9.225062013198087,8.624052417769768,3.291381998345599
00-0034857,J.Allen,2022_03_BUF_MIA,2022,3,BUF,MIA,47.0,0.0,8.0,2022-09-25,5.9,35.73568901135877,44.7292719087811,49.75623287497443,29.92720017166182,0.2832432551203965,0.3249469517153117,0.34740041318032866,0.6196425647408992,5.281117450980673,6.483374675465392,7.237861069084355,5.10041703694237
00-0034857,J.Allen,2022_04_BUF_BAL,2022,4,BUF,BAL,70.0,1.0,11.0,2022-10-02,6.4,41.367844505679386,45.48618127252074,49.255099624979074,24.46474646381529,0.14162162756019825,0.21663130114354115,0.28423670169299614,0.5341366608113964,6.640558725490337,6.988916450310262,7.37643178379629,4.240491384549406
00-0034857,J.Allen,2022_05_PIT_BUF,2022,5,BUF,PIT,42.0,0.0,5.0,2022-10-09,8.4,55.68392225283969,53.65745418168049,53.026899693164694,23.789496255331418,0.5708108137800991,0.47775420076236075,0.4143754832033605,0.6005532754983934,8.820279362745168,8.325944300206842,8.035262368560602,4.056717079953872
